bank_id,pm_family,course,unit,section,destination,destination_group,destination_slot,retrieval_stage_or_scope,mastery_goal_id,evidence_point_id,summative_version,blueprint_slot_id,question_family_id,variation_mode,task_architecture,dok,learning_target,i_can,practice_standard,item_type,answer_type,security_level,estimated_time_sec,figure_files,figure_source,graph_tool_type,source_basis,notes
U1-S1-NOTE-YTI03,AP/SCI,AP Calculus AB,1,1.1,Notes YTI,Notes YTI,YTI03,current-section,U1-MG01,,,,U1-S1-NOTE-FAM03,routine_procedural_numeric,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Calculator and Non-Calculator Reasoning,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-NOTE-EX04,AP/SCI,AP Calculus AB,1,1.1,Notes Example,Notes Example,EX04,current-section,U1-MG01,,,,U1-S1-NOTE-FAM04,,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Calculator and Non-Calculator Reasoning,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-NOTE-YTI04,AP/SCI,AP Calculus AB,1,1.1,Notes YTI,Notes YTI,YTI04,current-section,U1-MG01,,,,U1-S1-NOTE-FAM04,routine_procedural_numeric,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Calculator and Non-Calculator Reasoning,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S2-NOTE-EX01,AP/SCI,AP Calculus AB,1,1.2,Notes Example,Notes Example,EX01,current-section,U1-MG01,,,,U1-S2-NOTE-FAM01,,,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.",Interpretation Across Representations,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S2-NOTE-YTI01,AP/SCI,AP Calculus AB,1,1.2,Notes YTI,Notes YTI,YTI01,current-section,U1-MG01,,,,U1-S2-NOTE-FAM01,conceptual_reword,,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.",Interpretation Across Representations,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S2-NOTE-EX02,AP/SCI,AP Calculus AB,1,1.2,Notes Example,Notes Example,EX02,current-section,U1-MG01,,,,U1-S2-NOTE-FAM02,,,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.",Calculator and Non-Calculator Reasoning,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S2-NOTE-YTI02,AP/SCI,AP Calculus AB,1,1.2,Notes YTI,Notes YTI,YTI02,current-section,U1-MG01,,,,U1-S2-NOTE-FAM02,conceptual_reword,,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.",Calculator and Non-Calculator Reasoning,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S2-NOTE-EX03,AP/SCI,AP Calculus AB,1,1.2,Notes Example,Notes Example,EX03,current-section,U1-MG01,,,,U1-S2-NOTE-FAM03,,,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.",Analytical Strategy Selection,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S2-NOTE-YTI03,AP/SCI,AP Calculus AB,1,1.2,Notes YTI,Notes YTI,YTI03,current-section,U1-MG01,,,,U1-S2-NOTE-FAM03,conceptual_reword,,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.",Analytical Strategy Selection,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S2-NOTE-EX04,AP/SCI,AP Calculus AB,1,1.2,Notes Example,Notes Example,EX04,current-section,U1-MG01,,,,U1-S2-NOTE-FAM04,,,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.",Notation and Mathematical Communication,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S2-NOTE-YTI04,AP/SCI,AP Calculus AB,1,1.2,Notes YTI,Notes YTI,YTI04,current-section,U1-MG01,,,,U1-S2-NOTE-FAM04,conceptual_reword,,2,"Determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.","I can determine one-sided and two-sided limits from graphs and tables, including when a limit does not exist.",Notation and Mathematical Communication,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S3-NOTE-EX01,AP/SCI,AP Calculus AB,1,1.3,Notes Example,Notes Example,EX01,current-section,U1-MG02,,,,U1-S3-NOTE-FAM01,,,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.",Justification and Theorem Conditions,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S3-NOTE-YTI01,AP/SCI,AP Calculus AB,1,1.3,Notes YTI,Notes YTI,YTI01,current-section,U1-MG02,,,,U1-S3-NOTE-FAM01,routine_procedural_numeric,,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.",Justification and Theorem Conditions,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S3-NOTE-EX02,AP/SCI,AP Calculus AB,1,1.3,Notes Example,Notes Example,EX02,current-section,U1-MG02,,,,U1-S3-NOTE-FAM02,,,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.",Analytical Strategy Selection,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S3-NOTE-YTI02,AP/SCI,AP Calculus AB,1,1.3,Notes YTI,Notes YTI,YTI02,current-section,U1-MG02,,,,U1-S3-NOTE-FAM02,routine_procedural_numeric,,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.",Analytical Strategy Selection,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S3-NOTE-EX03,AP/SCI,AP Calculus AB,1,1.3,Notes Example,Notes Example,EX03,current-section,U1-MG02,,,,U1-S3-NOTE-FAM03,,,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.",Notation and Mathematical Communication,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S3-NOTE-YTI03,AP/SCI,AP Calculus AB,1,1.3,Notes YTI,Notes YTI,YTI03,current-section,U1-MG02,,,,U1-S3-NOTE-FAM03,routine_procedural_numeric,,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.",Notation and Mathematical Communication,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S3-NOTE-EX04,AP/SCI,AP Calculus AB,1,1.3,Notes Example,Notes Example,EX04,current-section,U1-MG02,,,,U1-S3-NOTE-FAM04,,,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.",Critique of Reasoning,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S3-NOTE-YTI04,AP/SCI,AP Calculus AB,1,1.3,Notes YTI,Notes YTI,YTI04,current-section,U1-MG02,,,,U1-S3-NOTE-FAM04,routine_procedural_numeric,,2,"Evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.","I can evaluate limits algebraically using direct substitution, limit laws, factoring, conjugates, and appropriate trigonometric or squeeze reasoning.",Critique of Reasoning,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S4-NOTE-EX01,AP/SCI,AP Calculus AB,1,1.4,Notes Example,Notes Example,EX01,current-section,U1-MG03,,,,U1-S4-NOTE-FAM01,,,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.",Interpretation Across Representations,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S4-NOTE-YTI01,AP/SCI,AP Calculus AB,1,1.4,Notes YTI,Notes YTI,YTI01,current-section,U1-MG03,,,,U1-S4-NOTE-FAM01,routine_procedural_numeric,,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.",Interpretation Across Representations,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S4-NOTE-EX02,AP/SCI,AP Calculus AB,1,1.4,Notes Example,Notes Example,EX02,current-section,U1-MG03,,,,U1-S4-NOTE-FAM02,,,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.",Justification and Theorem Conditions,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S4-NOTE-YTI02,AP/SCI,AP Calculus AB,1,1.4,Notes YTI,Notes YTI,YTI02,current-section,U1-MG03,,,,U1-S4-NOTE-FAM02,routine_procedural_numeric,,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.",Justification and Theorem Conditions,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S4-NOTE-EX03,AP/SCI,AP Calculus AB,1,1.4,Notes Example,Notes Example,EX03,current-section,U1-MG03,,,,U1-S4-NOTE-FAM03,,,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.",Notation and Mathematical Communication,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S4-NOTE-YTI03,AP/SCI,AP Calculus AB,1,1.4,Notes YTI,Notes YTI,YTI03,current-section,U1-MG03,,,,U1-S4-NOTE-FAM03,routine_procedural_numeric,,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.",Notation and Mathematical Communication,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S4-NOTE-EX04,AP/SCI,AP Calculus AB,1,1.4,Notes Example,Notes Example,EX04,current-section,U1-MG03,,,,U1-S4-NOTE-FAM04,,,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.",Modeling,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S4-NOTE-YTI04,AP/SCI,AP Calculus AB,1,1.4,Notes YTI,Notes YTI,YTI04,current-section,U1-MG03,,,,U1-S4-NOTE-FAM04,routine_procedural_numeric,,2,"Analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.","I can analyze continuity at a point and on intervals, and classify discontinuities using limits, function values, and piecewise definitions.",Modeling,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S5-NOTE-EX01,AP/SCI,AP Calculus AB,1,1.5,Notes Example,Notes Example,EX01,current-section,U1-MG04,,,,U1-S5-NOTE-FAM01,,,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.",Justification and Theorem Conditions,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S5-NOTE-YTI01,AP/SCI,AP Calculus AB,1,1.5,Notes YTI,Notes YTI,YTI01,current-section,U1-MG04,,,,U1-S5-NOTE-FAM01,conceptual_reword,,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.",Justification and Theorem Conditions,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S5-NOTE-EX02,AP/SCI,AP Calculus AB,1,1.5,Notes Example,Notes Example,EX02,current-section,U1-MG04,,,,U1-S5-NOTE-FAM02,,,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.",Notation and Mathematical Communication,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S5-NOTE-YTI02,AP/SCI,AP Calculus AB,1,1.5,Notes YTI,Notes YTI,YTI02,current-section,U1-MG04,,,,U1-S5-NOTE-FAM02,conceptual_reword,,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.",Notation and Mathematical Communication,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S5-NOTE-EX03,AP/SCI,AP Calculus AB,1,1.5,Notes Example,Notes Example,EX03,current-section,U1-MG04,,,,U1-S5-NOTE-FAM03,,,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.",Modeling,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S5-NOTE-YTI03,AP/SCI,AP Calculus AB,1,1.5,Notes YTI,Notes YTI,YTI03,current-section,U1-MG04,,,,U1-S5-NOTE-FAM03,conceptual_reword,,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.",Modeling,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S5-NOTE-EX04,AP/SCI,AP Calculus AB,1,1.5,Notes Example,Notes Example,EX04,current-section,U1-MG04,,,,U1-S5-NOTE-FAM04,,,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.",Analytical Strategy Selection,worked-example,worked solution,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S5-NOTE-YTI04,AP/SCI,AP Calculus AB,1,1.5,Notes YTI,Notes YTI,YTI04,current-section,U1-MG04,,,,U1-S5-NOTE-FAM04,conceptual_reword,,2,"Interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.","I can interpret infinite limits and limits at infinity to identify asymptotic behavior, and apply the Intermediate Value Theorem when its hypotheses are satisfied.",Analytical Strategy Selection,constructed-response,short response,instructional,150,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-PS1-Q01,AP/SCI,AP Calculus AB,1,1.1,Practice Set 1,Practice Set,Q01,current-section,U1-MG01,,,,U1-S1-P-TAB,representation_shift,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Interpretation Across Representations,constructed-response,short response,instructional,90,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-PS1-Q02,AP/SCI,AP Calculus AB,1,1.1,Practice Set 1,Practice Set,Q02,current-section,U1-MG01,,,,U1-S1-P-TAB,representation_shift,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Notation and Mathematical Communication,constructed-response,short response,instructional,90,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-PS1-Q03,AP/SCI,AP Calculus AB,1,1.1,Practice Set 1,Practice Set,Q03,current-section,U1-MG01,,,,U1-S1-P-TAB,representation_shift,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Calculator and Non-Calculator Reasoning,constructed-response,short response,instructional,90,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-PS1-Q04,AP/SCI,AP Calculus AB,1,1.1,Practice Set 1,Practice Set,Q04,current-section,U1-MG01,,,,U1-S1-P-TAB,representation_shift,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Interpretation Across Representations,constructed-response,short response,instructional,90,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-PS1-Q05,AP/SCI,AP Calculus AB,1,1.1,Practice Set 1,Practice Set,Q05,current-section,U1-MG01,,,,U1-S1-P-SECANT,routine_procedural_numeric,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Notation and Mathematical Communication,constructed-response,short response,instructional,90,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-PS1-Q06,AP/SCI,AP Calculus AB,1,1.1,Practice Set 1,Practice Set,Q06,current-section,U1-MG01,,,,U1-S1-P-SECANT,routine_procedural_numeric,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Calculator and Non-Calculator Reasoning,constructed-response,short response,instructional,90,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-PS1-Q07,AP/SCI,AP Calculus AB,1,1.1,Practice Set 1,Practice Set,Q07,current-section,U1-MG01,,,,U1-S1-P-SECANT,routine_procedural_numeric,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Interpretation Across Representations,constructed-response,short response,instructional,90,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-PS1-Q08,AP/SCI,AP Calculus AB,1,1.1,Practice Set 1,Practice Set,Q08,current-section,U1-MG01,,,,U1-S1-P-SECANT,routine_procedural_numeric,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Notation and Mathematical Communication,constructed-response,short response,instructional,90,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-PS1-Q09,AP/SCI,AP Calculus AB,1,1.1,Practice Set 1,Practice Set,Q09,current-section,U1-MG01,,,,U1-S1-P-MEAN,conceptual_reword,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Calculator and Non-Calculator Reasoning,multiple-choice,selected response,instructional,75,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-PS1-Q10,AP/SCI,AP Calculus AB,1,1.1,Practice Set 1,Practice Set,Q10,current-section,U1-MG01,,,,U1-S1-P-MEAN,conceptual_reword,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Interpretation Across Representations,multiple-choice,selected response,instructional,75,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-PS1-Q11,AP/SCI,AP Calculus AB,1,1.1,Practice Set 1,Practice Set,Q11,current-section,U1-MG01,,,,U1-S1-P-MEAN,conceptual_reword,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Notation and Mathematical Communication,multiple-choice,selected response,instructional,75,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-PS1-Q12,AP/SCI,AP Calculus AB,1,1.1,Practice Set 1,Practice Set,Q12,current-section,U1-MG01,,,,U1-S1-P-MEAN,conceptual_reword,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Calculator and Non-Calculator Reasoning,multiple-choice,selected response,instructional,75,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
U1-S1-PS1-Q13,AP/SCI,AP Calculus AB,1,1.1,Practice Set 1,Practice Set,Q13,current-section,U1-MG01,,,,U1-S1-P-NOTATION,conceptual_reword,,2,Relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,I can relate average versus instantaneous change to the idea of a limit and read and interpret limit notation.,Interpretation Across Representations,constructed-response,short response,instructional,90,,,,Framework + Unit 1 Assessment Plan + AP Topic style reference,
