bank_id,course_family,unit,section,destination,destination_group,destination_slot,spiral_role,dok,learning_target,i_can,framework_alignment,item_type,answer_type,figure_files,source_basis,notes
U7-S3-NOTE-YTI04,MATH,7,7.3,notes_you_try_it,notes,pair_4_yti,current,3,"Solve separable differential equations by separating variables, integrating both sides, and managing constants of integration across equivalent solution forms.","I can separate variables correctly, integrate both sides, include constants, recognize possible lost equilibrium solutions, and compare equivalent implicit or explicit forms.",AP Topic 7.6,lost_equilibrium_solutions,constructed_response,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 4; YTI.
U7-S4-NOTE-EX01,MATH,7,7.4,notes_example,notes,pair_1_ex,current,2,Use initial conditions to determine constants and produce particular solutions to separable differential equations.,I can use an initial condition to select one member of a solution family and express the requested particular solution with an appropriate branch or form.,AP Topic 7.7,particular_exponential_from_family,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 1; EX.
U7-S4-NOTE-YTI01,MATH,7,7.4,notes_you_try_it,notes,pair_1_yti,current,1,Use initial conditions to determine constants and produce particular solutions to separable differential equations.,I can use an initial condition to select one member of a solution family and express the requested particular solution with an appropriate branch or form.,AP Topic 7.7,initial_condition_constant,numeric,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 1; YTI.
U7-S4-NOTE-EX02,MATH,7,7.4,notes_example,notes,pair_2_ex,current,1,Use initial conditions to determine constants and produce particular solutions to separable differential equations.,I can use an initial condition to select one member of a solution family and express the requested particular solution with an appropriate branch or form.,AP Topic 7.7,initial_condition_constant,numeric,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 2; EX.
U7-S4-NOTE-YTI02,MATH,7,7.4,notes_you_try_it,notes,pair_2_yti,current,2,Use initial conditions to determine constants and produce particular solutions to separable differential equations.,I can use an initial condition to select one member of a solution family and express the requested particular solution with an appropriate branch or form.,AP Topic 7.7,particular_separable_implicit,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 2; YTI.
U7-S4-NOTE-EX03,MATH,7,7.4,notes_example,notes,pair_3_ex,current,2,Use initial conditions to determine constants and produce particular solutions to separable differential equations.,I can use an initial condition to select one member of a solution family and express the requested particular solution with an appropriate branch or form.,AP Topic 7.7,particular_separable_implicit,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 3; EX.
U7-S4-NOTE-YTI03,MATH,7,7.4,notes_you_try_it,notes,pair_3_yti,current,1,Use initial conditions to determine constants and produce particular solutions to separable differential equations.,I can use an initial condition to select one member of a solution family and express the requested particular solution with an appropriate branch or form.,AP Topic 7.7,general_particular_distinction,text,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 3; YTI.
U7-S4-NOTE-EX04,MATH,7,7.4,notes_example,notes,pair_4_ex,current,1,Use initial conditions to determine constants and produce particular solutions to separable differential equations.,I can use an initial condition to select one member of a solution family and express the requested particular solution with an appropriate branch or form.,AP Topic 7.7,general_particular_distinction,text,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 4; EX.
U7-S4-NOTE-YTI04,MATH,7,7.4,notes_you_try_it,notes,pair_4_yti,current,2,Use initial conditions to determine constants and produce particular solutions to separable differential equations.,I can use an initial condition to select one member of a solution family and express the requested particular solution with an appropriate branch or form.,AP Topic 7.7,particular_branch_selection,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 4; YTI.
U7-S5-NOTE-EX01,MATH,7,7.5,notes_example,notes,pair_1_ex,current,2,Model and interpret exponential growth and decay from differential equations in contextual situations.,"I can build exponential growth or decay models from proportional-rate relationships and interpret the sign, units, parameters, and solution behavior in context.",AP Topic 7.8,exponential_context_model,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 1; EX.
U7-S5-NOTE-YTI01,MATH,7,7.5,notes_you_try_it,notes,pair_1_yti,current,2,Model and interpret exponential growth and decay from differential equations in contextual situations.,"I can build exponential growth or decay models from proportional-rate relationships and interpret the sign, units, parameters, and solution behavior in context.",AP Topic 7.8,exponential_parameter_from_data,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 1; YTI.
U7-S5-NOTE-EX02,MATH,7,7.5,notes_example,notes,pair_2_ex,current,2,Model and interpret exponential growth and decay from differential equations in contextual situations.,"I can build exponential growth or decay models from proportional-rate relationships and interpret the sign, units, parameters, and solution behavior in context.",AP Topic 7.8,exponential_parameter_from_data,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 2; EX.
U7-S5-NOTE-YTI02,MATH,7,7.5,notes_you_try_it,notes,pair_2_yti,current,2,Model and interpret exponential growth and decay from differential equations in contextual situations.,"I can build exponential growth or decay models from proportional-rate relationships and interpret the sign, units, parameters, and solution behavior in context.",AP Topic 7.8,half_life_parameter,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 2; YTI.
U7-S5-NOTE-EX03,MATH,7,7.5,notes_example,notes,pair_3_ex,current,2,Model and interpret exponential growth and decay from differential equations in contextual situations.,"I can build exponential growth or decay models from proportional-rate relationships and interpret the sign, units, parameters, and solution behavior in context.",AP Topic 7.8,half_life_parameter,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 3; EX.
U7-S5-NOTE-YTI03,MATH,7,7.5,notes_you_try_it,notes,pair_3_yti,current,2,Model and interpret exponential growth and decay from differential equations in contextual situations.,"I can build exponential growth or decay models from proportional-rate relationships and interpret the sign, units, parameters, and solution behavior in context.",AP Topic 7.8,exponential_parameter_interpretation,text,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 3; YTI.
U7-S5-NOTE-EX04,MATH,7,7.5,notes_example,notes,pair_4_ex,current,2,Model and interpret exponential growth and decay from differential equations in contextual situations.,"I can build exponential growth or decay models from proportional-rate relationships and interpret the sign, units, parameters, and solution behavior in context.",AP Topic 7.8,exponential_parameter_interpretation,text,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 4; EX.
U7-S5-NOTE-YTI04,MATH,7,7.5,notes_you_try_it,notes,pair_4_yti,current,2,Model and interpret exponential growth and decay from differential equations in contextual situations.,"I can build exponential growth or decay models from proportional-rate relationships and interpret the sign, units, parameters, and solution behavior in context.",AP Topic 7.8,exponential_graph_interpretation,text,u7_s5_note_yti04_exponential_graph.png,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",Notes pair 4; YTI.
U7-S1-PS1-C01,MATH,7,7.1,practice_set_1,practice,ps1_c01,current,2,Translate verbal rate relationships into differential equations and verify whether proposed functions satisfy a differential equation.,I can model verbal growth or change statements with differential equations and verify proposed solutions by checking the derivative relationship.,"AP Topics 7.1, 7.2",solution_verification_exponential,constructed_response,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-C02,MATH,7,7.1,practice_set_1,practice,ps1_c02,current,2,Translate verbal rate relationships into differential equations and verify whether proposed functions satisfy a differential equation.,I can model verbal growth or change statements with differential equations and verify proposed solutions by checking the derivative relationship.,"AP Topics 7.1, 7.2",solution_verification_polynomial,constructed_response,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-C03,MATH,7,7.1,practice_set_1,practice,ps1_c03,current,2,Translate verbal rate relationships into differential equations and verify whether proposed functions satisfy a differential equation.,I can model verbal growth or change statements with differential equations and verify proposed solutions by checking the derivative relationship.,"AP Topics 7.1, 7.2",context_rate_model,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-C04,MATH,7,7.1,practice_set_1,practice,ps1_c04,current,1,Translate verbal rate relationships into differential equations and verify whether proposed functions satisfy a differential equation.,I can model verbal growth or change statements with differential equations and verify proposed solutions by checking the derivative relationship.,"AP Topics 7.1, 7.2",de_recognition,text,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-C05,MATH,7,7.1,practice_set_1,practice,ps1_c05,current,3,Translate verbal rate relationships into differential equations and verify whether proposed functions satisfy a differential equation.,I can model verbal growth or change statements with differential equations and verify proposed solutions by checking the derivative relationship.,"AP Topics 7.1, 7.2",model_choice_critique,constructed_response,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-L01,MATH,7,7.1,practice_set_1,practice,ps1_l01,last,2,"Use $u$-substitution as chain-rule reversal and select among substitution, algebraic rewriting, long division, or completing the square when appropriate.",I can retrieve and apply the most recent prerequisite learning.,"AP Topics 7.1, 7.2",u_substitution_retrieval,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-L02,MATH,7,7.1,practice_set_1,practice,ps1_l02,last,2,"Use $u$-substitution as chain-rule reversal and select among substitution, algebraic rewriting, long division, or completing the square when appropriate.",I can retrieve and apply the most recent prerequisite learning.,"AP Topics 7.1, 7.2",integration_rewrite_retrieval,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-L03,MATH,7,7.1,practice_set_1,practice,ps1_l03,last,2,"Use $u$-substitution as chain-rule reversal and select among substitution, algebraic rewriting, long division, or completing the square when appropriate.",I can retrieve and apply the most recent prerequisite learning.,"AP Topics 7.1, 7.2",ftc_retrieval,numeric,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-L04,MATH,7,7.1,practice_set_1,practice,ps1_l04,last,1,"Use $u$-substitution as chain-rule reversal and select among substitution, algebraic rewriting, long division, or completing the square when appropriate.",I can retrieve and apply the most recent prerequisite learning.,"AP Topics 7.1, 7.2",accumulation_retrieval,numeric,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-L05,MATH,7,7.1,practice_set_1,practice,ps1_l05,last,2,"Use $u$-substitution as chain-rule reversal and select among substitution, algebraic rewriting, long division, or completing the square when appropriate.",I can retrieve and apply the most recent prerequisite learning.,"AP Topics 7.1, 7.2",integration_strategy_retrieval,text,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-M01,MATH,7,7.1,practice_set_1,practice,ps1_m01,mastery,2,Derivative and antiderivative relationships; algebraic manipulation; function notation; graph interpretation and units.,"I can retrieve durable derivative, antiderivative, algebra, notation, graph, and units learning.","AP Topics 7.1, 7.2",definite_integral_retrieval,numeric,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-M02,MATH,7,7.1,practice_set_1,practice,ps1_m02,mastery,1,Derivative and antiderivative relationships; algebraic manipulation; function notation; graph interpretation and units.,"I can retrieve durable derivative, antiderivative, algebra, notation, graph, and units learning.","AP Topics 7.1, 7.2",units_retrieval,text,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-M03,MATH,7,7.1,practice_set_1,practice,ps1_m03,mastery,1,Derivative and antiderivative relationships; algebraic manipulation; function notation; graph interpretation and units.,"I can retrieve durable derivative, antiderivative, algebra, notation, graph, and units learning.","AP Topics 7.1, 7.2",algebra_retrieval,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-M04,MATH,7,7.1,practice_set_1,practice,ps1_m04,mastery,1,Derivative and antiderivative relationships; algebraic manipulation; function notation; graph interpretation and units.,"I can retrieve durable derivative, antiderivative, algebra, notation, graph, and units learning.","AP Topics 7.1, 7.2",function_notation_retrieval,numeric,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-M05,MATH,7,7.1,practice_set_1,practice,ps1_m05,mastery,1,Derivative and antiderivative relationships; algebraic manipulation; function notation; graph interpretation and units.,"I can retrieve durable derivative, antiderivative, algebra, notation, graph, and units learning.","AP Topics 7.1, 7.2",graph_sign_retrieval,text,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-M06,MATH,7,7.1,practice_set_1,practice,ps1_m06,mastery,2,Derivative and antiderivative relationships; algebraic manipulation; function notation; graph interpretation and units.,"I can retrieve durable derivative, antiderivative, algebra, notation, graph, and units learning.","AP Topics 7.1, 7.2",limit_retrieval,numeric,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-M07,MATH,7,7.1,practice_set_1,practice,ps1_m07,mastery,2,Derivative and antiderivative relationships; algebraic manipulation; function notation; graph interpretation and units.,"I can retrieve durable derivative, antiderivative, algebra, notation, graph, and units learning.","AP Topics 7.1, 7.2",derivative_relationship_retrieval,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-M08,MATH,7,7.1,practice_set_1,practice,ps1_m08,mastery,1,Derivative and antiderivative relationships; algebraic manipulation; function notation; graph interpretation and units.,"I can retrieve durable derivative, antiderivative, algebra, notation, graph, and units learning.","AP Topics 7.1, 7.2",antiderivative_retrieval,expression,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-M09,MATH,7,7.1,practice_set_1,practice,ps1_m09,mastery,2,Derivative and antiderivative relationships; algebraic manipulation; function notation; graph interpretation and units.,"I can retrieve durable derivative, antiderivative, algebra, notation, graph, and units learning.","AP Topics 7.1, 7.2",definite_integral_retrieval,numeric,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
U7-S1-PS1-M10,MATH,7,7.1,practice_set_1,practice,ps1_m10,mastery,1,Derivative and antiderivative relationships; algebraic manipulation; function notation; graph interpretation and units.,"I can retrieve durable derivative, antiderivative, algebra, notation, graph, and units learning.","AP Topics 7.1, 7.2",units_retrieval,text,,"Unit 7 Assessment Plan + AP Calculus AB Course Framework; supplied AP Topic scoring guides consulted for authentic representations and rigor only, with no published question wording copied.",
